"","가까운 역","건물층수","보증금/전세","설명","월세","입주날짜","중개사","층","평수"
"0","혜화역(4호선), 한성대입구역(4호선), 안국역(3호선)","2층","500","★☆★분리형원룸! 위치 짱! 성대 철문1분거리!★☆★","65","빠른입주가능","부동산타운공인중개사(김선덕)","2층","10.0"
"1","혜화역(4호선), 종로5가역(1호선), 동대문역(1호선,4호선)","4층","3000","★☆ 혜화역3분거리 ▶ 방구조 반듯한 투룸이예요. ★☆","70","12월중으로 가능","한솔부동산공인중개사(홍수정)","3층","14.0"
"2","혜화역(4호선), 한성대입구역(4호선), 안국역(3호선)","2층","6000","★☆ 성균관대 정문근처 ▶ 귀한전세 ▶ 저렴한 분리형원룸이예요 ★☆","0","즉시입주가능합니다.","한솔부동산공인중개사(홍수정)","1층","6.0"
"3","혜화역(4호선), 동대문역(1호선,4호선), 종로5가역(1호선)","5층","1000","대학로 이화동 풀옵션 투룸! 베란다있음~","65","빠른입주가능합니다^^","에이스공인중개사(이규현)","3층","12.0"
"4","한성대입구역(4호선), 성신여대입구역(4호선), 보문역(6호선)","4층","9000","&#127808; 넓은 깔끔한 원룸전세 9000만원 (8평)","0","협의","호박공인중개사(정경문)","3층","8.0"
"5","한성대입구역(4호선), 성신여대입구역(4호선), 보문역(6호선)","4층","9000","성북세무서 맞은편 전세원룸!!","0","12월말 입주가능","시티공인중개사(김영숙)","3층","8.4"
"6","한성대입구역(4호선), 혜화역(4호선), 창신역(6호선)","3층","16000","큰방3개 양베란다 1억6천 전세대출가능","0","빠른입주가능 ~12월 1일까지","돌고래부동산공인중개사(성수정)","2층","17.0"
"7","혜화역(4호선), 종로5가역(1호선), 동대문역(1호선,4호선)","4층","3000","헤화역 서울대병원 근처 깔끔한 투룸","70","협의","SK부동산공인중개사(강준호)","3층","14.0"
"8","혜화역(4호선), 한성대입구역(4호선), 안국역(3호선)","4층","1000","명륜동 깨끗한 원룸입니다","40","협의","SK부동산공인중개사(강준호)","3층","5.0"
"9","혜화역(4호선), 한성대입구역(4호선), 창신역(6호선)","4층","4000","★☆ 혜화역 5분  ▶올수리 내부상태 최상 ▶넓은 투룸 ★☆","50","즉시입주가능","한솔부동산공인중개사(홍수정)","3층","15.0"
"10","한성대입구역(4호선), 혜화역(4호선), 성신여대입구역(4호선)","4층","7000","분리형원룸 7000만원 (전세자금대출가능)","0","즉시입주","호박공인중개사(정경문)","2층","8.0"
"11","한성대입구역(4호선), 혜화역(4호선), 창신역(6호선)","3층","17000","깔끔한쓰리룸 1억7000만원 (전세자금대출가능)","0","협의","호박공인중개사(정경문)","2층","17.0"
"12","한성대입구역(4호선), 성신여대입구역(4호선), 보문역(6호선)","3층","500","&#127875;깔끔한옵션있는투룸  500-65.1000-60","65","협의","호박공인중개사(정경문)","반지하","13.0"
"13","혜화역(4호선), 한성대입구역(4호선)","4층","1000","★☆ 성균관대근처 ▶ 혜화역 5분 ▶ 신축 첫입주 ★☆","55","즉시입주가능","한솔부동산공인중개사(홍수정)","3층","6.0"
"14","혜화역(4호선), 한성대입구역(4호선)","4층","1000","혜화신축원룸","60","협의","SK부동산공인중개사(강준호)","1층","6.0"
"15","혜화역(4호선), 한성대입구역(4호선), 안국역(3호선)","5층","1000","★☆★위치짱!성대정문1분, 혜화역5분! 햇빛 잘 드는 따뜻한 집★☆★","50","빠른입주가능","부동산타운공인중개사(김선덕)","2층","6.0"
"16","혜화역(4호선), 한성대입구역(4호선), 안국역(3호선)","3층","13000","◈투룸◈전세◈","0","즉시입주","코끼리공인중개사(김영삼)","3층","15.0"
"17","한성대입구역(4호선), 혜화역(4호선)","4층","1000","혜화역 성균관대학교 근처 신축원룸","55","협의","SK부동산공인중개사(강준호)","2층","6.0"
"18","혜화역(4호선), 한성대입구역(4호선)","4층","2000","성대 정문에서 3분,  혜화역에서 5분 거리의 넓고 채광좋은 투룸 나왔습니다.","70","2018년 1월경 입주 가능합니다.","스마일공인중개사(강대흥)","2층","14.0"
"19","혜화역(4호선), 창신역(6호선), 동대문역(1호선,4호선)","2층","1000","대학로 동숭동 주택가 리모델링 2층 투룸","60","즉시입주","에이스공인중개사(이규현)","2층","12.0"
"20","혜화역(4호선), 한성대입구역(4호선)","3층","500","킹고하우스 부근, 리모델링한 원룸","40","즉시 입주","크라운공인중개사(조명철)","3층","4.9"
"21","한성대입구역(4호선), 혜화역(4호선), 창신역(6호선)","5층","3000","한성대,성균관대최적의원룸!분리형!안전,신축급,풀옵션...","40","협의","88공인중개사(김청자)","2층","6.0"
"22","혜화역(4호선), 한성대입구역(4호선)","4층","1000","★☆ 성균관대근처 ▶ 혜화역 5분 ▶ 최상의 원룸 ▶풀옵션 ★☆","65","즉시입주가능","한솔부동산공인중개사(홍수정)","2층","6.0"
"23","혜화역(4호선), 종로5가역(1호선), 동대문역(1호선,4호선)","5층","25000","서울대병원옆 최근 리모델링한 넓은 투룸","0","즉시입주가능","평화공인중개사(김희식)","4층","22.0"
"24","혜화역(4호선), 한성대입구역(4호선), 안국역(3호선)","4층","1000","성대근처 풀옵션 원룸","60","협의","SK부동산공인중개사(강준호)","3층","6.0"
"25","혜화역(4호선), 한성대입구역(4호선)","5층","1000","성대정문에서 2분, 혜화역에서 5분 거리의 엘레베이터 있는 채광좋고 깔끔한  신축 분리형 원룸","75","12월28일 이후 가능합니다.","스마일공인중개사(강대흥)","4층","12.0"
